DateTime,Value
09-12-2023 18:00,50.02
09-12-2023 18:15,49.96
09-12-2023 18:30,49.99
09-12-2023 18:45,50
09-12-2023 19:00,50
09-12-2023 19:15,49.98
09-12-2023 19:30,49.99
09-12-2023 19:45,50.01
09-12-2023 20:00,50
09-12-2023 20:15,49.99
09-12-2023 20:30,49.94
09-12-2023 20:45,49.91
09-12-2023 21:00,49.86
09-12-2023 21:15,49.95
09-12-2023 21:30,49.98
09-12-2023 21:45,50
09-12-2023 22:00,49.98
09-12-2023 22:15,49.91
09-12-2023 22:30,49.91
09-12-2023 22:45,49.94
09-12-2023 23:00,49.98
09-12-2023 23:15,50
09-12-2023 23:30,50
09-12-2023 23:45,50.03
10-12-2023 00:00,50.03
10-12-2023 00:15,50
10-12-2023 00:30,49.96
10-12-2023 00:45,49.99
10-12-2023 01:00,50
10-12-2023 01:15,50
10-12-2023 01:30,49.95
10-12-2023 01:45,49.96
10-12-2023 02:00,49.96
10-12-2023 02:15,49.98
10-12-2023 02:30,49.95
10-12-2023 02:45,49.95
10-12-2023 03:00,49.96
10-12-2023 03:15,49.96
10-12-2023 03:30,49.99
10-12-2023 03:45,49.98
10-12-2023 04:00,49.96
10-12-2023 04:15,49.95
10-12-2023 04:30,49.97
10-12-2023 04:45,49.98
10-12-2023 05:00,50.01
10-12-2023 05:15,50
10-12-2023 05:30,50.03
10-12-2023 05:45,50.02
10-12-2023 06:00,50.01
10-12-2023 06:15,50.01
10-12-2023 06:30,50.05
10-12-2023 06:45,49.99
10-12-2023 07:00,49.85
10-12-2023 07:15,49.86
10-12-2023 07:30,49.9
10-12-2023 07:45,49.96
10-12-2023 08:00,49.99
10-12-2023 08:15,50.01
10-12-2023 08:30,49.99
10-12-2023 08:45,50
10-12-2023 09:00,49.99
10-12-2023 09:15,49.97
10-12-2023 09:30,49.97
10-12-2023 09:45,50.02
10-12-2023 10:00,50
10-12-2023 10:15,49.98
10-12-2023 10:30,49.99
10-12-2023 10:45,50.01
10-12-2023 11:00,50.06
10-12-2023 11:15,50.03
10-12-2023 11:30,50.02
10-12-2023 11:45,49.99
10-12-2023 12:00,49.97
10-12-2023 12:15,49.95
10-12-2023 12:30,49.92
10-12-2023 12:45,49.89
10-12-2023 13:00,49.97
10-12-2023 13:15,50.04
10-12-2023 13:30,50.03
10-12-2023 13:45,50.03
10-12-2023 14:00,50.01
10-12-2023 14:15,49.98
10-12-2023 14:30,49.99
10-12-2023 14:45,49.99
10-12-2023 15:00,50.02
10-12-2023 15:15,50
10-12-2023 15:30,50
10-12-2023 15:45,49.95
10-12-2023 16:00,49.98
10-12-2023 16:15,49.96
10-12-2023 16:30,49.95
10-12-2023 16:45,50.01
10-12-2023 17:00,49.96
10-12-2023 17:15,49.97
10-12-2023 17:30,49.97
10-12-2023 17:45,49.96
10-12-2023 18:00,50
10-12-2023 18:15,50
10-12-2023 18:30,50.01
10-12-2023 18:45,49.97
10-12-2023 19:00,49.96
10-12-2023 19:15,49.94
10-12-2023 19:30,49.94
10-12-2023 19:45,50
